"","Year","Mean_COV","sd_COV","min_COV","max_COV"
"1",1907,0.0738354299277386,0.0572403400412234,0,0.222222222222222
"2",1908,0.0844795872180253,0.0408206819890576,0,0.176130895091434
"3",1909,0.107413143670696,0.0433991168402933,0.0411585365853659,0.228013029315961
"4",1910,0.135062149063045,0.0437409978821028,0.0637254901960784,0.240831295843521
"5",1911,0.160459117735423,0.0501948076569407,0.0536585365853659,0.26940133037694
"6",1912,0.1900255765937,0.0661477358507543,0.0815217391304348,0.333333333333333
"7",1913,0.197644243541712,0.077299726523808,0,0.355191256830601
